"96033","1808615065","H","1808615065","20260424","20260425",,"04822","00100120008303963879",,,,"8","20260424","Y"
"96033","1808615065","D","1808615065","20260424","20260425",,"04822","00100120008303963879","012000809941","10","CA",,"20260424",
"96033","1808615065","D","1808615065","20260424","20260425",,"04822","00100120008303963879","012000809965","3","CA",,"20260424",
"96033","1808615065","D","1808615065","20260424","20260425",,"04822","00100120008303963879","012000809972","1","CA",,"20260424",
"96033","1808615065","D","1808615065","20260424","20260425",,"04822","00100120008303963879","078000082166","11","CA",,"20260424",
"96033","1808615065","D","1808615065","20260424","20260425",,"04822","00100120008303963879","078000013450","2","CA",,"20260424",
"96033","1808615065","D","1808615065","20260424","20260425",,"04822","00100120008303963879","078000013054","2","CA",,"20260424",
"96033","1808615065","D","1808615065","20260424","20260425",,"04822","00100120008303963879","012000171864","2","CA",,"20260424",
"96033","1808615065","D","1808615065","20260424","20260425",,"04822","00100120008303963879","078000098167","2","CA",,"20260424",
"96033","1808615065","H","1808615065","20260424","20260425",,"04822","00100120008303963886",,,,"15","20260424","Y"
"96033","1808615065","D","1808615065","20260424","20260425",,"04822","00100120008303963886","012000504051","1","CA",,"20260424",
"96033","1808615065","D","1808615065","20260424","20260425",,"04822","00100120008303963886","012000171956","1","CA",,"20260424",
"96033","1808615065","D","1808615065","20260424","20260425",,"04822","00100120008303963886","012000027215","1","CA",,"20260424",
"96033","1808615065","D","1808615065","20260424","20260425",,"04822","00100120008303963886","012000202384","1","CA",,"20260424",
"96033","1808615065","D","1808615065","20260424","20260425",,"04822","00100120008303963886","078000082401","1","CA",,"20260424",
"96033","1808615065","D","1808615065","20260424","20260425",,"04822","00100120008303963886","012000171741","1","CA",,"20260424",
"96033","1808615065","D","1808615065","20260424","20260425",,"04822","00100120008303963886","078000038750","1","CA",,"20260424",
"96033","1808615065","D","1808615065","20260424","20260425",,"04822","00100120008303963886","012000130274","1","CA",,"20260424",
"96033","1808615065","D","1808615065","20260424","20260425",,"04822","00100120008303963886","012000001598","1","CA",,"20260424",
"96033","1808615065","D","1808615065","20260424","20260425",,"04822","00100120008303963886","052000324815","1","CA",,"20260424",
"96033","1808615065","D","1808615065","20260424","20260425",,"04822","00100120008303963886","052000135138","1","CA",,"20260424",
"96033","1808615065","D","1808615065","20260424","20260425",,"04822","00100120008303963886","012000002335","2","CA",,"20260424",
"96033","1808615065","D","1808615065","20260424","20260425",,"04822","00100120008303963886","012000003110","1","CA",,"20260424",
"96033","1808615065","D","1808615065","20260424","20260425",,"04822","00100120008303963886","012000002304","2","CA",,"20260424",
"96033","1808615065","D","1808615065","20260424","20260425",,"04822","00100120008303963886","078000002041","2","CA",,"20260424",
"96033","1808615065","H","1808615065","20260424","20260425",,"04822","00100120008304637212",,,,"12","20260424","Y"
"96033","1808615065","D","1808615065","20260424","20260425",,"04822","00100120008304637212","012000140921","2","CA",,"20260424",
"96033","1808615065","D","1808615065","20260424","20260425",,"04822","00100120008304637212","012000140945","1","CA",,"20260424",
"96033","1808615065","D","1808615065","20260424","20260425",,"04822","00100120008304637212","078000082395","3","CA",,"20260424",
"96033","1808615065","D","1808615065","20260424","20260425",,"04822","00100120008304637212","078000026399","1","CA",,"20260424",
"96033","1808615065","D","1808615065","20260424","20260425",,"04822","00100120008304637212","012000171734","1","CA",,"20260424",
"96033","1808615065","D","1808615065","20260424","20260425",,"04822","00100120008304637212","052000050585","1","CA",,"20260424",
"96033","1808615065","D","1808615065","20260424","20260425",,"04822","00100120008304637212","052000050608","1","CA",,"20260424",
"96033","1808615065","D","1808615065","20260424","20260425",,"04822","00100120008304637212","052000050592","1","CA",,"20260424",
"96033","1808615065","D","1808615065","20260424","20260425",,"04822","00100120008304637212","012000161230","1","CA",,"20260424",
"96033","1808615065","D","1808615065","20260424","20260425",,"04822","00100120008304637212","098000100127","1","CA",,"20260424",
"96033","1808615065","D","1808615065","20260424","20260425",,"04822","00100120008304637212","052000047905","1","CA",,"20260424",
"96033","1808615065","D","1808615065","20260424","20260425",,"04822","00100120008304637212","052000054996","1","CA",,"20260424",
